"id","출생연도","성별","배우자월평균소득","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도"
8600,1982,1,0,0,0,1,4,5,2016
8605,1983,2,1,0,0,1,4,5,2016
8613,1983,2,1,0,0,1,4,5,2016
8637,1985,2,1,2,2,1,4,5,2016
8638,1978,2,1,0,0,1,4,5,2016
8640,1985,1,0,0,0,1,4,5,2016
8641,1980,1,0,0,1,1,4,5,2016
8649,1985,1,1,1,1,1,4,5,2016
8694,1982,1,0,0,0,1,4,5,2016
8702,1986,2,1,1,-1,-1,4,6,2016
8708,1982,2,1,0,-1,-1,4,6,2016
8709,1983,1,0,0,2,1,4,5,2016
8775,1984,2,1,0,-1,-1,5,6,2016
8779,1981,2,1,0,0,1,4,5,2016
8785,1981,1,0,0,0,1,4,5,2016
8786,1981,1,0,0,0,1,4,5,2016
8821,1980,2,1,0,-1,-1,4,6,2016
8823,1983,2,1,0,-1,-1,4,6,2016
8845,1984,1,1,0,-1,-1,4,6,2016
8865,1985,1,0,0,0,1,4,5,2016
8867,1986,2,0,0,-1,-1,4,6,2016
8893,1983,2,1,0,-1,-1,4,6,2016
8894,1986,2,1,1,0,1,4,5,2016
8897,1983,2,1,0,-1,-1,4,6,2016
8900,1984,1,0,0,1,1,4,5,2016
8915,1983,2,1,1,2,1,4,5,2016
8923,1985,2,1,0,2,1,4,5,2016
8924,1980,2,0,0,-1,-1,4,6,2016
8935,1979,1,1,0,0,1,4,5,2016
8945,1981,1,0,0,0,1,5,5,2016
8946,1981,1,0,0,1,1,4,5,2016
8948,1980,1,0,0,0,1,4,5,2016
8973,1982,1,0,0,2,1,4,5,2016
8974,1980,1,0,0,0,1,4,5,2016
8991,1988,1,1,2,2,1,4,5,2016
8999,1982,1,0,0,0,1,4,5,2016
9013,1982,2,1,0,-1,-1,5,6,2016
9038,1981,1,0,0,2,1,4,5,2016
9043,1981,1,0,0,0,1,4,5,2016
9047,1981,2,1,0,2,1,4,5,2016
9053,1981,1,0,0,1,1,4,5,2016
9059,1979,2,1,0,-1,-1,4,6,2016
9067,1978,1,0,0,1,1,4,5,2016
9072,1982,2,1,0,2,1,4,5,2016
9076,1979,1,0,0,2,1,4,5,2016
9089,1978,1,0,0,1,1,4,5,2016
9090,1982,2,1,0,-1,-1,4,6,2016
9094,1979,2,0,1,-1,-1,5,6,2016
9128,1982,2,1,1,2,1,4,5,2016
9147,1981,2,1,0,-1,-1,4,6,2016
9151,1980,1,0,0,0,1,4,5,2016
9155,1982,2,1,0,0,1,4,5,2016
9163,1984,1,0,0,0,1,4,5,2016
9175,1982,1,0,0,2,1,4,5,2016
9193,1979,1,1,0,2,2,5,5,2016
