"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1201",NA,NA,3382,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1202",NA,4,3383,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1203",3600,4,3384,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1204",NA,NA,3385,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1205",250,4,3386,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1206",400,4,3387,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1207",300,4,3391,4,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1208",4000,4,3392,1,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1209",200,4,3393,1,NA,NA,NA,2,2,2,5,2,110132.7,384142319
"1210",240,4,3395,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1211",170,4,3398,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1212",200,4,3401,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1213",300,4,3402,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1214",180,5,3403,1,NA,NA,NA,2,2,2,5,1,110132.7,384142319
"1215",180,4,3404,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1216",4500,4,3405,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1217",NA,4,3411,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1218",NA,4,3412,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1219",280,4,3413,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1220",350,4,3414,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1221",400,4,3416,2,NA,NA,NA,NA,3,4,5,1,110132.7,384142319
"1222",230,4,3419,2,NA,NA,NA,1,6,1,5,1,110132.7,384142319
"1223",200,5,3420,1,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1224",NA,4,3421,1,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1225",4000,4,3422,2,NA,NA,NA,NA,2,5,5,2,110132.7,384142319
