"","y13b224","y13b225","w13edu","sampid","y13g101","y13a034","y13a065","y13a080","y13b308","y13b156z","y13b161","w13type","y13f310","y13g500","y13b22","y13g7"
"3206",NA,NA,4,9274,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3207",2,350,4,9276,2,NA,NA,NA,1,0,1,5,1,2,60,2500
"3208",2,260,4,9277,4,NA,NA,NA,1,0,1,5,2,2,45,3000
"3209",1,2400,4,9283,2,NA,NA,NA,1,2,1,5,1,1,50,3000
"3210",1,3000,4,9284,2,NA,NA,NA,1,0,1,5,1,2,43,2000
"3211",NA,NA,4,9287,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2000
"3212",2,200,4,9299,1,NA,NA,NA,2,0,2,5,1,2,40,2400
"3213",1,5500,4,9300,1,NA,NA,NA,1,3,1,5,2,2,40,5800
"3214",NA,NA,4,9301,1,NA,NA,NA,NA,NA,NA,6,5,2,NA,4500
"3215",NA,NA,NA,9304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3216",1,7500,4,9305,2,NA,NA,NA,1,0,1,5,4,1,45,7500
"3217",5,2,5,9306,1,NA,NA,NA,2,2,1,5,5,2,32,4000
"3218",1,6000,5,9309,2,NA,NA,NA,1,1,1,5,2,1,40,3500
"3219",1,3500,4,9310,2,NA,NA,NA,1,3,1,5,4,1,40,4000
"3220",NA,NA,4,9313,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3221",2,450,4,9314,2,NA,NA,NA,1,1,1,5,3,2,40,3500
"3222",2,300,4,9315,2,NA,NA,NA,1,0,1,5,2,1,45,4000
"3223",NA,NA,4,9320,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,1500
"3224",2,230,4,9323,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"3225",1,4500,5,9324,1,NA,NA,NA,1,0,1,5,2,2,40,5500
"3226",2,290,4,9325,1,NA,NA,NA,1,2,1,5,3,2,40,1700
"3227",NA,NA,NA,9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228",NA,NA,4,9330,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,1500
"3229",1,3000,4,9331,2,NA,NA,NA,1,0,1,5,1,1,42,2400
"3230",1,4000,4,9333,1,NA,NA,NA,1,1,1,5,1,2,40,3300
"3231",2,300,4,9337,2,NA,NA,NA,1,1,1,5,1,1,40,4500
"3232",1,5400,4,9338,2,NA,NA,NA,1,1,1,5,1,2,52,6000
"3233",2,250,4,9343,1,NA,NA,NA,1,1,1,5,2,2,40,2000
"3234",1,4400,4,9344,2,NA,NA,NA,1,1,1,5,1,1,48,3000
"3235",1,7500,4,9345,1,NA,NA,NA,1,0,1,5,1,2,40,6500
"3236",2,50,4,9351,2,NA,NA,NA,NA,2,5,5,2,1,20,5000
"3237",1,7000,5,9352,2,NA,NA,NA,1,0,1,5,2,1,50,8000
"3238",NA,NA,4,9353,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3239",2,270,4,9354,1,NA,NA,NA,1,0,1,5,1,2,40,4000
"3240",1,3000,5,9355,1,NA,NA,NA,1,8,1,5,2,2,40,2500
"3241",2,200,4,9356,1,NA,NA,NA,1,0,1,5,2,2,40,4000
"3242",1,3600,4,9357,1,NA,NA,NA,1,2,1,5,1,2,40,3800
"3243",2,350,5,9361,1,NA,NA,NA,1,3,1,5,1,2,50,5000
"3244",2,170,4,9363,1,NA,NA,NA,1,0,1,5,2,2,40,2500
"3245",1,4400,4,9365,1,NA,NA,NA,1,0,1,5,1,2,40,4000
"3246",1,3800,4,9368,1,NA,NA,NA,1,5,1,5,1,2,40,3600
"3247",2,300,4,9369,1,NA,NA,NA,1,1,1,5,2,2,40,4000
"3248",2,500,4,9371,2,NA,NA,NA,1,6,1,5,1,1,40,7000
"3249",2,450,4,9378,1,NA,NA,NA,1,8,1,5,3,2,40,2400
"3250",2,200,4,9383,2,NA,NA,NA,1,0,1,5,1,2,50,4000
"3251",2,300,4,9385,1,NA,NA,NA,1,2,1,5,1,2,40,3200
"3252",NA,NA,NA,9396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3253",2,230,5,9398,2,NA,NA,NA,1,0,1,5,1,1,42.5,3200
"3254",2,280,4,9402,1,NA,NA,NA,1,0,1,5,4,2,40,5000
