"id","출생연도","성별","배우자월평균소득_400미만","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도","g115"
"1781",1982,1,1,0,0,1,0,1,2018,5
"1786",1982,1,0,0,-1,-1,0,0,2016,7
"1786",1982,1,1,0,-1,-1,0,0,2017,6
"1786",1982,1,0,0,-1,-1,0,0,2018,8
"1786",1982,1,0,0,-1,-1,0,0,2020,8
"1787",1978,0,1,0,2,1,0,1,2016,0
"1787",1978,0,1,0,2,1,0,1,2017,0
"1829",1986,1,1,0,0,1,0,1,2016,0
"1829",1986,1,1,1,0,1,0,1,2017,6
"1829",1986,1,0,0,-1,-1,0,0,2018,8
"1829",1986,1,0,0,0,1,0,1,2019,8
"1829",1986,1,0,0,0,1,0,1,2020,7
"1834",1979,0,1,0,2,1,0,1,2016,3
"1893",1981,0,1,0,2,1,0,1,2016,0
"1896",1978,1,1,0,-1,-1,1,0,2016,6
"1896",1978,1,0,0,-1,-1,1,0,2017,7
"1896",1978,1,0,0,2,1,1,1,2018,7
"1896",1978,1,1,0,2,1,1,1,2019,6
"1896",1978,1,1,0,2,1,1,1,2020,6
"1900",1979,1,1,1,0,1,0,1,2016,5
"1900",1979,1,1,0,0,1,0,1,2017,6
"1900",1979,1,1,0,0,1,0,1,2018,5
"1900",1979,1,1,0,0,1,0,1,2019,5
"1900",1979,1,1,0,0,1,0,1,2020,6
"1901",1980,1,1,0,-1,-1,0,0,2016,6
"1901",1980,1,1,0,-1,-1,0,0,2017,6
"1901",1980,1,1,0,-1,-1,0,0,2018,6
"1918",1981,1,1,0,-1,-1,0,0,2016,6
"1918",1981,1,1,0,2,2,0,1,2017,6
"1918",1981,1,1,0,2,2,0,1,2018,6
"1918",1981,1,0,0,2,2,0,1,2019,7
"1918",1981,1,1,0,2,2,0,1,2020,6
"1921",1979,1,1,0,-1,-1,0,0,2016,6
"1921",1979,1,0,0,-1,-1,0,0,2017,7
"1921",1979,1,0,0,-1,-1,0,0,2018,8
"1921",1979,1,0,0,2,2,0,1,2019,8
"1921",1979,1,1,0,2,2,0,1,2020,0
"1945",1980,0,1,1,0,1,1,1,2020,6
"1946",1980,0,1,0,1,1,0,1,2016,3
"1946",1980,0,1,0,2,1,0,1,2017,0
"1946",1980,0,1,0,2,1,0,1,2018,2
"1946",1980,0,1,0,2,1,0,1,2019,3
"1946",1980,0,1,0,2,1,0,1,2020,3
"1950",1981,1,1,0,0,1,0,1,2016,5
"1950",1981,1,1,0,0,1,0,1,2017,6
"1950",1981,1,1,0,0,1,0,1,2018,5
"1960",1983,0,1,0,2,2,0,1,2016,0
"1961",1985,1,1,0,-1,-1,0,0,2016,5
"1961",1985,1,1,0,-1,-1,0,0,2017,6
"1970",1984,0,1,0,0,1,0,1,2016,0
"1970",1984,0,1,0,0,1,0,1,2017,0
"1970",1984,0,1,0,0,1,0,1,2018,0
"1970",1984,0,1,0,0,1,0,1,2019,0
"1986",1985,1,1,1,0,1,0,1,2016,4
"1986",1985,1,1,1,0,1,0,1,2017,5
"1986",1985,1,1,1,0,1,0,1,2018,6
"1986",1985,1,1,1,0,1,0,1,2019,6
"1986",1985,1,1,0,0,1,0,1,2020,6
"1988",1983,0,1,0,0,1,0,1,2016,0
"1988",1983,0,1,0,0,1,0,1,2017,0
"1988",1983,0,1,0,0,1,0,1,2018,0
"1988",1983,0,1,0,0,1,0,1,2019,0
"1988",1983,0,1,0,0,1,0,1,2020,0
"2016",1982,1,1,0,-1,-1,0,0,2016,6
"2016",1982,1,1,0,-1,-1,0,0,2017,6
"2016",1982,1,0,0,2,1,0,1,2018,7
"2016",1982,1,1,0,2,1,0,1,2019,6
"2016",1982,1,0,0,2,1,0,1,2020,7
"2029",1980,1,0,0,-1,-1,1,0,2016,7
"2043",1985,1,1,0,-1,-1,0,0,2016,5
"2043",1985,1,1,0,-1,-1,0,0,2018,6
"2043",1985,1,1,0,-1,-1,0,0,2019,0
"2043",1985,1,1,0,-1,-1,0,0,2020,0
"2059",1984,1,1,1,2,1,0,1,2016,5
"2059",1984,1,0,1,2,1,0,1,2017,7
"2059",1984,1,1,0,2,1,0,1,2018,5
"2059",1984,1,1,0,2,1,0,1,2019,5
"2075",1978,0,1,0,2,1,0,1,2016,0
"2108",1981,0,1,0,0,1,0,1,2016,0
"2108",1981,0,1,0,0,1,0,1,2017,0
"2108",1981,0,1,0,0,1,0,1,2018,0
"2108",1981,0,1,0,0,1,0,1,2019,0
"2108",1981,0,1,0,0,1,0,1,2020,0
"2109",1983,0,1,0,0,1,0,1,2016,0
"2109",1983,0,1,0,0,1,0,1,2017,0
"2109",1983,0,1,0,0,1,0,1,2018,0
"2109",1983,0,1,0,-1,-1,0,0,2019,0
"2132",1987,1,1,0,-1,-1,0,0,2016,0
"2132",1987,1,1,0,-1,-1,0,0,2017,0
"2132",1987,1,1,0,-1,-1,0,0,2018,6
"2132",1987,1,1,0,-1,-1,0,0,2019,6
"2192",1980,0,1,0,0,1,0,1,2016,0
"2192",1980,0,1,0,0,1,0,1,2017,0
"2192",1980,0,1,0,0,1,0,1,2018,0
"2192",1980,0,1,0,0,1,0,1,2019,0
"2192",1980,0,1,0,0,1,0,1,2020,0
"2195",1985,1,1,0,-1,-1,0,0,2016,6
"2195",1985,1,1,0,-1,-1,0,0,2017,6
"2195",1985,1,1,0,-1,-1,0,0,2018,6
"2195",1985,1,1,0,-1,-1,0,0,2019,6
"2195",1985,1,1,0,0,1,0,1,2020,6
"2228",1985,1,1,0,-1,-1,0,0,2016,5
"2228",1985,1,1,1,-1,-1,0,0,2017,5
"2228",1985,1,1,0,-1,-1,0,0,2018,6
"2228",1985,1,1,1,2,1,0,1,2019,6
"2228",1985,1,1,0,2,1,0,1,2020,6
"2232",1981,1,1,1,-1,-1,1,0,2016,6
"2232",1981,1,1,0,-1,-1,1,0,2017,6
"2232",1981,1,1,0,-1,-1,1,0,2018,6
"2232",1981,1,1,0,-1,-1,1,0,2019,6
"2255",1983,0,1,0,0,1,0,1,2016,0
"2255",1983,0,1,0,0,1,0,1,2018,0
"2255",1983,0,1,0,0,1,0,1,2019,0
"2263",1987,1,1,0,-1,-1,0,0,2016,0
"2263",1987,1,1,0,-1,-1,0,0,2017,5
"2266",1980,0,1,0,1,1,1,1,2016,0
"2266",1980,0,1,0,1,1,1,1,2017,0
"2266",1980,0,1,0,1,1,1,1,2018,0
"2266",1980,0,1,0,1,1,1,1,2019,1
"2266",1980,0,1,0,1,1,1,1,2020,2
"2289",1985,0,1,0,0,1,0,1,2016,0
"2304",1982,0,1,0,1,1,0,1,2016,0
"2304",1982,0,1,0,1,1,0,1,2017,0
"2304",1982,0,1,0,1,1,0,1,2018,0
"2344",1978,0,1,1,2,1,0,1,2016,6
"2345",1978,1,1,1,2,1,0,1,2016,6
"2347",1985,0,1,0,0,1,0,1,2016,0
"2347",1985,0,1,1,0,1,0,1,2017,6
"2347",1985,0,1,1,0,1,0,1,2020,4
"2351",1982,0,1,0,2,1,0,1,2016,0
"2351",1982,0,1,1,2,1,0,1,2017,5
"2351",1982,0,1,1,2,1,0,1,2018,4
"2351",1982,0,1,0,-1,-1,0,0,2019,5
